side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason
SHORT,2025-12-09 02:05:00+00:00,2025-12-09 02:25:00+00:00,90167.99,90387.85485714287,-219.8648571428639,-0.002438391464009167,4,SL
SHORT,2025-12-09 02:30:00+00:00,2025-12-09 03:40:00+00:00,90221.6,90431.09771428572,-209.49771428570966,-0.0023220350147382628,14,SL
SHORT,2025-12-09 03:45:00+00:00,2025-12-09 04:35:00+00:00,90370.0,89917.42857142858,452.57142857142026,0.005007983053794625,10,TP
SHORT,2025-12-09 04:45:00+00:00,2025-12-09 05:15:00+00:00,89921.97,89850.64,71.33000000000175,0.0007932432974945027,6,FLIP
LONG,2025-12-09 05:20:00+00:00,2025-12-09 05:25:00+00:00,89892.0,89877.99,-14.009999999994761,-0.00015585369109592356,1,FLIP
SHORT,2025-12-09 05:40:00+00:00,2025-12-09 06:35:00+00:00,90127.92,89876.46,251.45999999999185,0.0027900344310618935,11,FLIP
SHORT,2025-12-09 06:55:00+00:00,2025-12-09 07:20:00+00:00,90170.01,90338.958,-168.94800000000396,-0.0018736606550227063,5,SL
SHORT,2025-12-09 07:25:00+00:00,2025-12-09 07:30:00+00:00,90376.3,90431.04,-54.73999999999069,-0.0006056897660115614,1,FLIP
LONG,2025-12-09 07:35:00+00:00,2025-12-09 09:05:00+00:00,90506.31,90333.34714285714,-172.96285714286205,-0.0019110585454523783,18,SL
LONG,2025-12-09 09:10:00+00:00,2025-12-09 09:20:00+00:00,90445.14,90322.29857142858,-122.84142857142433,-0.0013581871681709412,2,SL
LONG,2025-12-09 09:30:00+00:00,2025-12-09 09:35:00+00:00,90338.79,90205.51371428571,-133.27628571428068,-0.0014752941202143695,1,SL
LONG,2025-12-09 09:40:00+00:00,2025-12-09 10:05:00+00:00,90185.0,90079.98,-105.02000000000407,-0.0011644952043023127,5,FLIP
SHORT,2025-12-09 10:15:00+00:00,2025-12-09 10:35:00+00:00,90182.0,90300.83514285715,-118.83514285714773,-0.0013177257419124408,4,SL
SHORT,2025-12-09 11:05:00+00:00,2025-12-09 11:55:00+00:00,90309.71,90394.01,-84.29999999998836,-0.0009334544424955893,10,FLIP
LONG,2025-12-09 12:00:00+00:00,2025-12-09 12:05:00+00:00,90459.99,90337.8522857143,-122.13771428570908,-0.00135018491916381,1,SL
LONG,2025-12-09 12:15:00+00:00,2025-12-09 13:35:00+00:00,90587.05,90455.902,-131.14800000000105,-0.0014477566053867639,16,SL
LONG,2025-12-09 13:45:00+00:00,2025-12-09 14:25:00+00:00,90281.88,90132.79371428571,-149.0862857142929,-0.0016513422816881182,8,SL
LONG,2025-12-09 14:30:00+00:00,2025-12-09 14:40:00+00:00,90278.0,90089.8,-188.1999999999971,-0.002084671791577096,2,FLIP
LONG,2025-12-09 15:00:00+00:00,2025-12-09 15:05:00+00:00,90897.02,90572.05571428571,-324.9642857142899,-0.003575081842224199,1,SL
LONG,2025-12-09 15:15:00+00:00,2025-12-09 15:40:00+00:00,90882.89,91900.07428571428,1017.1842857142765,0.011192252862054414,5,TP
LONG,2025-12-09 15:50:00+00:00,2025-12-09 16:40:00+00:00,92824.43,94206.16142857142,1381.7314285714237,0.01488542863739022,10,TP
LONG,2025-12-09 16:45:00+00:00,2025-12-09 17:15:00+00:00,94367.31,93863.44714285714,-503.8628571428562,-0.005339379252654932,6,SL
LONG,2025-12-09 17:25:00+00:00,2025-12-09 20:15:00+00:00,93769.98,93382.70657142857,-387.27342857142503,-0.004130036378075639,34,SL
LONG,2025-12-09 20:25:00+00:00,2025-12-09 21:05:00+00:00,93086.54,93052.7,-33.83999999999651,-0.0003635326868954041,8,FLIP
SHORT,2025-12-09 21:10:00+00:00,2025-12-10 00:45:00+00:00,93016.01,92169.57071428571,846.4392857142811,0.009099931137814675,43,TP
SHORT,2025-12-10 00:55:00+00:00,2025-12-10 01:15:00+00:00,92138.0,92355.12714285715,-217.127142857149,-0.0023565428255133496,4,SL
SHORT,2025-12-10 01:20:00+00:00,2025-12-10 02:20:00+00:00,92316.43,92567.88057142857,-251.45057142857695,-0.0027237900277185434,12,SL
SHORT,2025-12-10 02:25:00+00:00,2025-12-10 04:50:00+00:00,92522.97,92531.93,-8.959999999991851,-9.684081693434453e-05,29,FLIP
LONG,2025-12-10 04:55:00+00:00,2025-12-10 06:00:00+00:00,92568.27,92427.46371428572,-140.8062857142795,-0.0015211074563052708,13,SL
LONG,2025-12-10 06:05:00+00:00,2025-12-10 09:45:00+00:00,92508.14,92815.78357142856,307.6435714285617,0.0033255837965022505,44,TP
LONG,2025-12-10 09:50:00+00:00,2025-12-10 10:20:00+00:00,92919.97,92787.46857142857,-132.50142857142782,-0.0014259736477683733,6,SL
LONG,2025-12-10 10:35:00+00:00,2025-12-10 10:40:00+00:00,92361.05,92140.63571428572,-220.41428571428696,-0.002386441965680197,1,SL
SHORT,2025-12-10 10:45:00+00:00,2025-12-10 11:10:00+00:00,92188.3,92427.59714285715,-239.29714285714726,-0.0025957430916629036,5,SL
SHORT,2025-12-10 11:20:00+00:00,2025-12-10 11:40:00+00:00,92333.7,91855.96285714286,477.73714285713504,0.005174027931915812,4,TP
SHORT,2025-12-10 12:00:00+00:00,2025-12-10 14:50:00+00:00,92079.99,91643.27357142858,436.71642857142433,0.004742794048646446,34,TP
SHORT,2025-12-10 15:05:00+00:00,2025-12-10 16:10:00+00:00,92025.92,92277.356,-251.4360000000015,-0.002732230223832606,13,SL
LONG,2025-12-10 16:25:00+00:00,2025-12-10 16:55:00+00:00,92488.15,92206.66685714285,-281.4831428571488,-0.0030434508945972947,6,SL
LONG,2025-12-10 17:10:00+00:00,2025-12-10 18:35:00+00:00,92236.87,92840.25357142856,603.3835714285669,0.006541674402314031,17,TP
LONG,2025-12-10 18:45:00+00:00,2025-12-10 18:50:00+00:00,92684.09,92390.90428571428,-293.18571428571886,-0.0031632798497101162,1,SL
LONG,2025-12-10 18:55:00+00:00,2025-12-10 19:00:00+00:00,92503.1,92157.98771428571,-345.1122857142909,-0.003730818596504235,1,SL
LONG,2025-12-10 19:05:00+00:00,2025-12-10 20:10:00+00:00,92732.0,94036.565,1304.5650000000023,0.014068121036966768,13,TP
LONG,2025-12-10 20:25:00+00:00,2025-12-10 20:50:00+00:00,93614.01,92940.80914285714,-673.2008571428596,-0.007191240468631347,5,SL
LONG,2025-12-10 21:10:00+00:00,2025-12-10 21:50:00+00:00,92309.99,92572.02,262.02999999999884,0.0028385876761550816,8,FLIP
SHORT,2025-12-10 21:55:00+00:00,2025-12-11 00:40:00+00:00,92395.93,91277.01142857142,1118.9185714285704,0.01211004176730047,33,TP
SHORT,2025-12-11 00:45:00+00:00,2025-12-11 00:50:00+00:00,91230.0,91454.09057142858,-224.09057142857637,-0.002456325456851654,1,SL
SHORT,2025-12-11 00:55:00+00:00,2025-12-11 01:15:00+00:00,91410.0,90779.43642857143,630.5635714285745,0.006898190257396067,4,TP
SHORT,2025-12-11 01:30:00+00:00,2025-12-11 02:10:00+00:00,91087.56,90243.885,843.6750000000029,0.009262241737510621,8,TP
SHORT,2025-12-11 02:20:00+00:00,2025-12-11 03:10:00+00:00,90197.53,89469.84999999999,727.6800000000076,0.008067626685564534,10,TP
LONG,2025-12-11 03:15:00+00:00,2025-12-11 03:25:00+00:00,89736.01,89745.82,9.810000000012224,0.00010932066179465996,2,FLIP
SHORT,2025-12-11 03:30:00+00:00,2025-12-11 03:35:00+00:00,89680.0,89866.99,-186.99000000000524,-0.00208508028545947,1,FLIP
SHORT,2025-12-11 03:40:00+00:00,2025-12-11 03:45:00+00:00,89831.03,89878.01,-46.979999999995925,-0.0005229818694052148,1,FLIP
SHORT,2025-12-11 03:50:00+00:00,2025-12-11 03:55:00+00:00,89852.83,89898.02,-45.19000000000233,-0.0005029335191779973,1,FLIP
SHORT,2025-12-11 04:00:00+00:00,2025-12-11 04:10:00+00:00,89829.79,90097.73885714285,-267.9488571428519,-0.002982850757447523,2,SL
SHORT,2025-12-11 04:15:00+00:00,2025-12-11 04:45:00+00:00,90011.97,90262.16142857143,-250.19142857143015,-0.0027795350837386424,6,SL
SHORT,2025-12-11 05:00:00+00:00,2025-12-11 09:20:00+00:00,90294.02,90488.1662857143,-194.14628571429057,-0.0021501566295784656,52,SL
SHORT,2025-12-11 09:30:00+00:00,2025-12-11 09:45:00+00:00,90356.63,90371.09,-14.459999999991851,-0.0001600325288801923,3,FLIP
LONG,2025-12-11 09:55:00+00:00,2025-12-11 10:40:00+00:00,90257.98,90204.61,-53.36999999999534,-0.0005913050569046122,9,FLIP
LONG,2025-12-11 10:50:00+00:00,2025-12-11 12:05:00+00:00,90331.97,90211.28942857143,-120.68057142857288,-0.0013359674479431023,15,SL
LONG,2025-12-11 12:30:00+00:00,2025-12-11 12:45:00+00:00,90356.15,90254.78942857141,-101.36057142858044,-0.0011217894014804797,3,SL
SHORT,2025-12-11 12:50:00+00:00,2025-12-11 13:30:00+00:00,90142.11,89881.67142857143,260.4385714285745,0.0028891998581858634,8,TP
SHORT,2025-12-11 13:40:00+00:00,2025-12-11 13:50:00+00:00,90039.9,90184.48028571428,-144.5802857142844,-0.0016057357428682663,2,SL
SHORT,2025-12-11 13:55:00+00:00,2025-12-11 14:25:00+00:00,90099.94,90263.51114285714,-163.5711428571376,-0.0018154411962664747,6,SL
SHORT,2025-12-11 14:30:00+00:00,2025-12-11 14:35:00+00:00,90048.08,90249.22142857143,-201.14142857142724,-0.0022337114636028577,1,SL
SHORT,2025-12-11 14:40:00+00:00,2025-12-11 14:50:00+00:00,90285.92,89695.76214285713,590.157857142869,0.0065365436509133325,2,TP
SHORT,2025-12-11 15:25:00+00:00,2025-12-11 15:40:00+00:00,90261.99,89815.81,446.18000000000757,0.004943165999331585,3,FLIP
SHORT,2025-12-11 15:45:00+00:00,2025-12-11 15:50:00+00:00,89697.99,89755.99,-58.0,-0.0006466142663843415,1,FLIP
LONG,2025-12-11 15:55:00+00:00,2025-12-11 16:00:00+00:00,89874.66,89769.99,-104.66999999999825,-0.0011646219301413574,1,FLIP
SHORT,2025-12-11 16:05:00+00:00,2025-12-11 16:35:00+00:00,89419.91,89845.74885714285,-425.83885714285134,-0.004762237594992562,6,SL
SHORT,2025-12-11 16:50:00+00:00,2025-12-11 17:00:00+00:00,89768.01,89798.15,-30.139999999999418,-0.00033575435168942054,2,FLIP
LONG,2025-12-11 17:05:00+00:00,2025-12-11 17:25:00+00:00,89826.44,90083.3,256.8600000000006,0.002859514414686818,4,FLIP
